"","(Intercept)","dayFriday","dayMonday","daySaturday","dayThursday","dayTuesday","dayWednesday","days_since_lockdown"
"Dorset",-56.8318181818182,-19.1787878787879,-19.6606060606061,-3.75606060606062,-16.3515151515151,-16.8954545454545,-17.1318181818182,0.327272727272727
"East Riding of Yorkshire",-53.2693277310924,-19.5743697478992,-19.6711484593838,-3.74551820728291,-16.7365546218487,-16.7887318563789,-17.3992742551566,0.33781512605042
"East Sussex",-56.5179653679654,-18.4158008658009,-19.1670995670996,-1.83290043290044,-16.4987012987013,-16.6508658008658,-16.984632034632,0.333766233766234
"Essex",-55.3504074357015,-22.3003819709702,-23.5998090145149,-2.31685765215177,-20.7839062897886,-21.1874076903489,-21.1735803412274,0.349809014514896
"Gloucestershire",-54.3884390119684,-21.4099949070537,-22.5033358798065,-3.07999745352687,-19.1566590272473,-19.6237840590782,-19.960453272218,0.336669213139801
"Greater London",-61.4472880061115,-22.1380825057296,-23.6392920804686,-1.61070791953145,-21.5821237585943,-22.0637891520244,-22.0061115355233,0.305958747135217
"Greater Manchester",-53.6837025719379,-22.3013878278584,-23.2243060860708,-3.19236058059587,-20.2437484084543,-20.8036923860453,-20.7476954418131,0.307639419404125
"Hampshire",-53.293328240387,-24.7479118920296,-26.1677107206519,-2.83228927934811,-23.0802011713777,-23.536312706901,-23.5070537305831,0.334377387318564
"Hartlepool",-49.1909982174688,-21.025935828877,-21.6120320855615,-5.13796791443851,-19.4972370766488,-18.8357397504456,-18.6523172905526,0.362032085561497
"Herefordshire",-49.0433155080214,-17.1093582887701,-17.7369875222817,-2.8463458110517,-13.8723707664884,-13.5877005347594,-14.6352941176471,0.320320855614973
"Isle of Wight",-53.4464349376114,-19.2716577540107,-19.447504456328,-5.21916221033869,-17.157486631016,-17.2113190730838,-17.3936720142603,0.364171122994652
"Kent",-52.6923223834989,-22.4355105678635,-23.5739113827349,-3.17608861726509,-20.7782658517953,-20.9004965622613,-21.2244079449962,0.323911382734912
"Kingston upon Hull",-50.6601476954418,-17.3105551311434,-17.8030557677617,-1.53027756557168,-14.340832696715,-14.6439011968424,-15.4924115100586,0.30305576776165
"Lancashire",-50.6909600203717,-21.4436083524319,-21.7365291571174,-3.59680417621594,-18.7904125286478,-18.9217214158391,-19.2415839062898,0.319862490450725
"Leicester",-51.3318309141838,-21.6506748153807,-22.3413292589763,-2.40867074102368,-19.3926788897377,-20.2304303539598,-19.8444868856634,0.341329258976318
"Leicestershire",-53.9414311179017,-22.5700916730329,-23.5899541634836,-4.16004583651643,-20.3134708428826,-21.0203717850777,-20.9966895849249,0.339954163483575
"Lincolnshire",-47.9934810287751,-19.8938884644767,-20.4697224344283,-3.78027756557169,-17.5074993633817,-17.4014769544181,-17.9772599949071,0.30305576776165
"Luton",-49.7992360580595,-22.7867838044309,-24.4399414311179,-2.97672523554877,-21.1801757066463,-21.7378151260504,-21.4580595874714,0.356608097784568
"Medway",-50.9504710975299,-22.026483320601,-23.6534250063662,-3.17990832696716,-20.0397249809015,-20.762286732875,-20.3551056786351,0.320091673032849
"Merseyside",-53.9903106697225,-20.0607079195314,-21.2196460402343,-2.78035395976573,-18.6743952126305,-18.8561370002546,-18.7954800101859,0.302979373567609
"Middlesbrough",-49.9110898905016,-19.230188439012,-19.6765724471607,-3.74009421950599,-17.5536159918513,-17.545747389865,-17.7980774127833,0.343239113827349
"Milton Keynes",-54.208619811561,-24.1174560733384,-25.2329386299975,-0.767061370002557,-22.884517443341,-23.2604405398523,-23.3948943213649,0.316271963330787
"Norfolk",-52.6216704863764,-18.6848994143112,-19.4075502928444,-2.92578304048892,-16.0273491214668,-16.7106442577031,-16.6712248535778,0.324216959511077
"North East Lincolnshire",-46.3861726508785,-17.164120193532,-17.7512732365674,-3.16539343009932,-14.5795136236313,-14.7253628724217,-14.9690603514133,0.334606569900687
"North Lincolnshire",-48.1130888719124,-18.1331041507512,-18.8501145912911,-4.39988540870894,-16.0329895594601,-16.0733129615482,-16.150700280112,0.350114591291062
"North Somerset",-54.0754519989814,-20.9853195823784,-22.2156735421441,-2.78432645785586,-19.8529793735676,-20.2484593837535,-20.3656480774128,0.299006875477463
"North Yorkshire",-56.3798064680417,-16.4706518971225,-16.9730073847721,-2.94365928189458,-13.7476445123504,-13.9647313470843,-14.543799337917,0.306340718105424
"Northamptonshire",-48.3580850522026,-23.4315380697734,-24.32589763178,-2.84076903488669,-20.77230710466,-21.4050929462694,-21.367354214413,0.325897631779984
"Northumberland",-54.9934810287751,-16.72722179781,-16.7197224344283,-1.78027756557168,-14.090832696715,-14.4014769544181,-14.6136236312707,0.30305576776165
"Nottingham",-55.230774127833,-20.2007257448434,-21.441303794245,-2.89202953908837,-18.5094219505984,-18.9365291571174,-18.8475299210593,0.274637127578304
"Nottinghamshire",-52.5809141838553,-21.2581487140311,-21.9959256429845,-3.83740769034888,-19.0122230710466,-19.4076266870385,-19.8277947542654,0.3292589763178
"Oxfordshire",-58.1279984721161,-21.6293735676089,-23.3936465495289,-2.3563534504711,-20.4857270180799,-20.9208938120703,-21.0493888464477,0.310313216195569
"Peterborough",-43.3938502673796,-24.7952762923351,-25.6440285204991,-3.10597147950089,-23.4845811051693,-23.7612299465241,-23.6173796791444,0.310695187165775
"Plymouth",-55.6474789915966,-19.5330532212885,-20.2334733893558,-4.51652661064426,-17.3829131652661,-17.66115355233,-17.7961420932009,0.316806722689075
"Portsmouth",-53.5482811306341,-21.4785968933028,-22.1357015533486,-3.86429844665139,-19.3428953399542,-19.7282658517953,-19.5760886172651,0.302368220015279
"Reading",-55.8729946524064,-26.0944741532977,-28.4527629233512,-2.38057040998217,-25.2250445632799,-25.9344919786096,-25.9478609625668,0.286096256684492
"Redcar and Cleveland",-50.6710466004583,-18.6624395212631,-18.7521135727018,-3.7478864272982,-15.8269926152279,-15.8377387318564,-16.5368220015279,0.335446906035141
"Rutland",-58.3592750533049,-15.685460683595,-15.4272549589714,-1.48828099760936,-13.7993070362473,-13.2989920527234,-13.4199941849196,0.302820314014344
"Shropshire",-52.6316399286987,-20.3390374331551,-20.5804812834225,-4.08618538324421,-17.5918894830659,-17.8603386809269,-17.7362745098039,0.33048128342246
"Slough",-55.7067990832697,-18.554290807232,-20.5561879297173,1.80618792971735,-17.831436210848,-18.3588999236058,-18.1196333078686,0.306187929717341
"Somerset",-50.5165902724725,-19.6186783804431,-19.8989941431118,-4.93433919022154,-16.7196842373313,-16.8371148459384,-17.0618665648077,0.315660809778456
"South Gloucestershire",-51.1737331296155,-26.3139164756812,-28.1347084288261,-3.69862490450726,-24.5958747135218,-25.4267252355488,-25.273554876496,0.301375095492742
"South Yorkshire",-52.9568118156353,-19.6928444104915,-20.6535777947543,-2.84642220524574,-17.5392666157372,-17.6711484593838,-17.9004838298956,0.320244461420932
"Southampton",-52.6999745352686,-21.122892793481,-22.5218869365928,-2.39477973007385,-19.6010058568882,-19.9027756557168,-19.6292080468551,0.271886936592819
"Southend-on-Sea",-56.837713267125,-20.9957728545964,-22.2521135727018,-3.08121976063153,-19.4936592818946,-19.3983447924624,-19.7337916984976,0.335446906035141
"Staffordshire",-55.6031321619557,-19.7008530685001,-20.4412401324166,-3.89209320091674,-17.1762796027502,-17.9858670741024,-17.8892284186402,0.357906799083269
"Stockton-on-Tees",-51.9455054749172,-19.8239113827349,-20.4213776419659,-1.66195569136746,-17.2358670741024,-17.6671759612936,-17.823402088108,0.338044308632544
"Stoke-on-Trent",-51.1800993124522,-19.090718105424,-19.4963076139547,-4.00369238604533,-16.6777438248026,-16.8237203972498,-16.9715431627196,0.329640947288006
"Suffolk",-52.5650623885918,-20.2589126559715,-20.5788770053476,-2.75445632798574,-17.7633689839572,-17.7718360071301,-18.0098039215686,0.328877005347593
"Surrey",-57.6098930481283,-25.1894830659537,-27.2385918003565,-0.844741532976832,-24.5342245989305,-25.0852941176471,-25.3163101604278,0.321925133689839
"Swindon",-52.5994907053731,-24.9078558696206,-26.1710720651897,-2.82892793481029,-22.7367838044309,-23.3646040234276,-23.6114336643748,0.337738731856379
"Thurrock",-50.6674433409727,-23.285103132162,-24.4407817672524,-2.47588489941431,-20.9276546982429,-21.9941303794245,-22.1697606315253,0.357448433919022
"Torbay",-56.38346065699,-15.9855360325949,-16.2572319837026,-2.99276801629743,-13.8116373822256,-14.5118792971734,-14.0342627960275,0.340565317035905
"Tyne and Wear",-57.29329004329,-18.2489177489178,-18.9588744588745,-2.20779220779221,-16.0400432900433,-16.5768398268398,-16.6872294372294,0.292207792207792
"Warrington",-50.9178507766743,-24.3854851031322,-25.7239241151006,-2.69274255156608,-22.1615609880316,-22.7360835243188,-23.1342500636618,0.307257448433919
"Warwickshire",-54.5401578813344,-23.4980646804176,-24.2509676597912,-3.99903234020881,-21.0804303539598,-21.7409727527374,-21.7116373822256,0.334300993124522
"West Berkshire",-55.1642602495543,-27.2300356506239,-29.4266488413547,-3.24001782531195,-26.3033868092692,-26.8410873440285,-27.0025846702317,0.34331550802139
"West Midlands",-55.5841100076394,-21.6184364654953,-22.9407817672524,-3.14255156608098,-20.1776546982429,-20.5320091673033,-20.8894576012223,0.357448433919022
"West Sussex",-55.4092691622103,-20.8336898395722,-22.6664884135472,-1.83351158645276,-19.1672014260249,-19.7351158645276,-19.9773618538324,0.333155080213903
"West Yorkshire",-53.5822638146168,-22.1114973262032,-23.2359180035651,-3.59741532976827,-20.0422459893048,-20.4605169340463,-20.8706773618538,0.319251336898396
"Wiltshire",-54.751209574739,-22.1625923096511,-23.1687038451744,-2.91462948815891,-19.7438884644767,-20.2090654443596,-20.8171632289279,0.3353705118411
"Windsor and Maidenhead",-58.4903234020881,-24.3659281894576,-27.3170359052712,-0.849630761395475,-24.3822256175198,-25.0092946269417,-25.2354214413038,0.317035905271199
"Wokingham",-58.575935828877,-28.1670231729055,-30.5831550802139,-1.58351158645276,-28.3338680926916,-28.8411764705882,-28.6288770053476,0.333155080213904
"Worcestershire",-56.0727909345556,-20.1942831678126,-21.1945250827604,-3.30547491723963,-18.2497580850522,-18.3748790425261,-18.9178889737713,0.361191749427043
"York",-64.6695951107716,-15.2839954163484,-15.8996689584925,-0.766997708174178,-13.8843264578559,-13.9232238349885,-14.4289533995416,0.233002291825821
