"","(Intercept)","dayFriday","dayMonday","daySaturday","dayThursday","dayTuesday","dayWednesday","bank_holiday1","days_since_lockdown"
"Northamptonshire",-26.409153650563,-19.0026819227509,-21.5453384186948,-0.908003390240934,-20.3906768373895,-20.9173265528514,-20.6081683617871,-38.1998728659644,0.158663276425717
"Northumberland",-35.4234082299828,-14.1098723470499,-14.1413860204452,-1.65616210886824,-15.5684863266047,-15.4210091155968,-14.8155810544341,-35.0367780602979,0.143837891131752
"Nottingham",-30.3261342604604,-20.5234324459896,-22.187175894695,-4.24541885043156,-21.3362565512947,-21.6424956324702,-20.5393760918824,-24.5110788231021,0.0879144829017693
"Nottinghamshire",-27.901511770709,-19.5058914085067,-19.4940272948991,-2.24839914898033,-20.2785307802743,-19.6365350353727,-18.6825329078235,-35.8636033418089,0.151600851019667
"Oxfordshire",-32.9686281632158,-22.6470032691608,-23.315667756387,-1.93266739314686,-25.7980021794406,-23.0013318803729,-23.3163336965734,-33.2749727569924,0.133999273519796
"Peterborough",-19.1048760659367,-23.5006192378876,-25.1065556189784,-1.59802120630307,-25.4607302855759,-26.0039575873938,-24.6240106031515,-33.4313476207774,0.135312127030253
"Plymouth",-34.3525954370124,-15.0880321035061,-14.4991853043433,-4.88517115527649,-15.3221801324961,-15.5629910227803,-15.3009189109715,-37.2346531057029,0.181495511390171
"Portsmouth",-34.4161538062373,-19.3328602563437,-19.9300010378289,-3.93428640617161,-20.5361925518482,-21.0647605209901,-19.8463098697524,-31.0356883399927,0.132380260495044
"Reading",-33.404602771003,-28.3671743379516,-30.8969946205871,-1.46783768356595,-29.9368463840313,-30.3976579662013,-29.8464188417829,-24.5275154377043,0.13216231643402
"Redcar and Cleveland",-28.1637745835711,-15.3851062909726,-14.9251941604829,-4.57552626571877,-15.8599121304897,-16.3822808018958,-15.3085964661927,-37.4891936069742,0.15780706761455
"Rutland",-43.0631517960603,-7.96635766705291,-8.21904210119737,-1.93893395133257,-8.85936655079183,-9.19161838547702,-7.71299246813442,-38.9918887601391,0.173117033603708
"Shropshire",-30.4688339992735,-15.0809480566654,-13.9603160188885,-1.84021067925899,-17.920632037777,-12.7862453081487,-13.9826053396295,-39.9920995277879,0.15978932074101
"Slough",-35.1965163544531,-17.3907719717018,-19.2572414508848,2.93326760417209,-20.0001971874838,-20.3998685416775,-19.0500328645806,-29.1403922993098,0.133267604172072
"Somerset",-31.178743535191,-13.9365756836697,-13.7026680850328,-2.7224136439901,-13.833907598637,-16.2885060453531,-13.7070401553284,-38.6237740646567,0.14425302267656
"South Gloucestershire",-25.4098213204642,-28.8767941466451,-30.6446456679294,-2.92182727068306,-30.6321484787158,-30.6230121253005,-29.5692469686748,-32.5029059208137,0.144839395983602
"South Yorkshire",-28.4530071091276,-17.5892550118485,-18.455148496013,-2.33359106083406,-18.8674398491689,-19.8661512116652,-17.6584621970837,-34.1689066472939,0.133075605832598
"Southampton",-37.6711258713438,-15.9545629875633,-17.2340606783941,-0.306834103056398,-17.3871689758359,-17.7196651272205,-16.4075837181948,-27.8865782782419,0.0931658969435937
"Southend-on-Sea",-34.6074360437963,-20.7628457267396,-22.5066628612942,-3.01872762181515,-23.1228495321121,-23.295878089703,-22.0343638109075,-34.11914275336,0.181272378184837
"Staffordshire",-27.8762735024994,-19.0125715669486,-18.2835556016813,-2.59856087731132,-18.6623492986007,-19.2028782453773,-19.0742804386556,-36.7682528151108,0.134772456022002
"Stockton-on-Tees",-26.3182415719647,-17.7152526248421,-18.259052462249,-1.46317783197551,-18.3895334959265,-19.1403110027156,-17.9899222493211,-38.1665455866328,0.136822168024493
"Stoke-on-Trent",-25.168145572795,-15.3441691315102,-14.8115484406621,-2.6886513413938,-15.1326206908481,-15.0893639838791,-14.3651590040302,-33.4970032691609,0.111348658606196
"Suffolk",-34.004753256188,-13.9673412554269,-18.3097486724439,-0.974753083216568,-16.9909259163164,-17.3838271669002,-15.3207098749416,-37.7324736650926,0.158580250116755
"Surrey",-34.9426980090983,-25.348126718904,-29.3398517634442,1.84168612595784,-28.9416082887932,-30.6833722519156,-28.9333236036877,-30.5275154377043,0.175019459291163
"Swindon",-25.4393164167228,-24.2095099718056,-25.0444398318717,-1.54391226886685,-25.3650701399339,-25.8455087955996,-25.0052894677667,-34.1747184889212,0.122754397799803
"Thurrock",-30.5497483265009,-20.8339162472108,-22.106543510975,-1.17579091207859,-22.5273727362358,-22.8484181758428,-22.3462287893726,-34.7649836541954,0.157542421254735
"Torbay",-37.3630100496428,-8.45188279452716,-8.09507204262017,-1.45227025063566,-8.42347741857367,-9.62879283206198,-8.89280179198446,-35.7898656011624,0.14772974936433
"Tyne and Wear",-31.7801826578797,-18.3981336377631,-18.0485842284607,-5.80540535865635,-19.2828827426357,-18.5891892826873,-18.8110360126615,-33.1901561932437,0.127927974676976
"Warrington",-28.5861190389704,-24.1874768650649,-25.1275716534344,-2.19774618165463,-25.2599052116306,-25.4711743033574,-24.5322064241606,-33.1202324736651,0.135587151678688
"Warwickshire",-27.195516579316,-24.3806591942988,-25.0999022711155,-3.84914119661667,-25.2807569231834,-26.6350509401,-25.4120705983083,-33.7643479840174,0.150858803383322
"West Berkshire",-30.2436995139501,-28.8676283880787,-30.9304793039628,-1.37904969470532,-30.2038157507827,-31.3752339439226,-29.9811915140193,-32.3570650199782,0.15428363862799
"West Midlands",-30.0619116807638,-19.6566031861345,-21.8902963001401,-1.92210229533149,-20.9663068859945,-22.0224620760036,-20.5277178143324,-31.8140210679259,0.144564371335167
"West Sussex",-33.6597547264455,-18.6319884800996,-20.9963771124142,-0.967426011450698,-20.1022780343521,-21.5318146437652,-19.987879672392,-34.5429531420269,0.165907321882621
"West Yorkshire",-30.3137806375728,-20.601300745507,-21.3083700897722,-2.45319910746716,-22.4929306557349,-22.6936017850656,-20.7682662204002,-33.5764620414094,0.146800892532821
"Wiltshire",-32.1508449656651,-17.6698069638316,-19.6280308927058,-2.30281424593084,-19.7084427377925,-20.7943715081383,-19.8889071229654,-39.0373229204504,0.16385242073582
"Windsor and Maidenhead",-35.9544842855413,-26.1407019182536,-28.8500752425925,-0.785764447442605,-29.2239600089945,-29.4951377717814,-28.6678822237213,-27.4624046494733,0.147568885890716
"Wokingham",-32.590394893882,-33.096817324823,-35.7163994257347,-1.10458374414056,-35.8470845657551,-36.3241658450521,-34.9189585387369,-28.6852524518707,0.162082922526075
"Worcestershire",-32.0348485634718,-15.5580025253835,-17.2606040163977,-1.1880217252175,-16.6973985089859,-14.1572898828983,-17.7190108626087,-36.2706138757719,0.145311608115821
"York",-45.2813778907857,-15.6525245187068,-16.784174839569,-1.51167211526817,-17.2683496791379,-17.4433224361303,-16.4808360576341,-26.5622956774428,0.154994551398474
